date,time,temperature,visibility,pressure,humidity,gusts_wind,u_wind,v_wind,prep_1h,snow_1h,gradient_snow,total_cloud,low_cloud,medium_cloud,high_cloud,type_prep,sort_prep
2023-01-06,23,269.17649841308594,3740.7421875,101805.125,0.8948591947555542,7.890625,-4.088283538818359,4.173670768737793,0.068359375,0.01953125,1.0,0.99951171875,0.998046875,0.9990234375,0.9990234375,1.0,1.0
2023-01-07,0,269.1901397705078,4249.2919921875,101767.875,0.9175193905830384,8.740618459880352,-4.209105491638184,4.470542907714844,0.1728515625,0.1865234375,1.0,0.99951171875,1.0,0.99951171875,0.99951171875,1.0,1.0
2023-01-07,1,269.4699249267578,11407.439071655272,101730.75,0.906767189502716,8.537693090736866,-4.379782676696777,4.27949333190918,0.0537109375,0.083984375,1.0,0.98486328125,0.98193359375,0.9833984375,0.77197265625,1.0,1.0
2023-01-07,2,269.87388610839844,43852.24827575684,101709.4375,0.876607358455658,8.895731300115585,-3.846701622009277,4.020256996154785,0.0,0.0,-9.0,0.99755859375,0.998046875,0.998046875,0.998046875,-9.0,0.0
2023-01-07,3,270.3568725585937,37240.29429626465,101649.875,0.8674807548522949,8.506996728479862,-4.211712837219238,4.664106369018555,0.0,0.0,-9.0,0.99951171875,1.0,0.998046875,0.998046875,-9.0,0.0
2023-01-07,4,270.47808837890625,5111.915557861328,101592.9375,0.8950687646865845,9.277062475681303,-3.5491247177124023,4.735206604003906,0.0478515625,0.0224609375,-9.0,1.0,1.0,1.0,0.0,-9.0,0.0
2023-01-07,5,270.7505187988281,2901.913955688477,101566.5,0.94338196516037,8.612845078110695,-3.4428834915161133,4.571906089782715,0.1181640625,0.140625,1.0,0.97265625,0.96826171875,0.0,0.0,1.0,1.0
2023-01-07,6,271.36183166503906,25796.545669555664,101553.0625,0.9420236349105836,7.663545865565538,-3.1405515670776367,4.801949501037598,0.00830078125,0.0,-9.0,0.98974609375,0.9912109375,0.0,0.0,-9.0,0.0
2023-01-07,7,271.8448944091797,6501.297866821289,101563.1875,0.935405433177948,7.440560460090637,-3.170048713684082,5.143411636352539,0.0,0.0,-9.0,0.9794921875,0.98583984375,0.98974609375,0.0,-9.0,0.0
2023-01-07,8,272.07452392578125,5501.805892944336,101551.5,0.9498519897460938,8.546152144670486,-3.065937042236328,5.243799209594727,0.05126953125,0.0732421875,1.0,0.97216796875,0.97265625,0.974609375,0.0,1.0,1.0
2023-01-07,9,272.5077667236328,12892.907669067385,101545.5,0.9408913850784302,8.113874264061451,-3.0738525390625,5.321722984313965,0.0458984375,0.0966796875,-9.0,0.9658203125,0.9697265625,0.9716796875,0.0,-9.0,1.0
2023-01-07,10,272.9054107666016,22891.50015258789,101533.1875,0.9238869547843932,7.933987438678741,-2.9019603729248047,5.514451026916504,0.0,0.0,-9.0,0.99853515625,1.0,0.9990234375,0.0,-9.0,0.0
2023-01-07,11,273.19029235839844,27364.0,101518.1875,0.9127926230430604,8.17750559002161,-2.275857925415039,5.691542625427246,0.0,0.0,-9.0,0.99951171875,1.0,1.0,1.0,-9.0,0.0
2023-01-07,12,273.3530578613281,10736.967544555664,101495.4375,0.9192258715629578,7.744652509689331,-2.1964778900146484,5.499164581298828,0.0,0.0,-9.0,1.0,1.0,1.0,1.0,-9.0,0.0
2023-01-07,13,273.4408264160156,18468.0,101475.0625,0.9323180913925172,8.031897284090519,-1.881490707397461,5.718130111694336,0.01171875,0.0,-9.0,0.9814453125,0.98095703125,0.98095703125,0.0,-9.0,0.0
2023-01-07,14,273.4545135498047,8804.0,101459.6875,0.9488937258720398,7.879159566015005,-2.2423553466796875,5.018949508666992,0.0,0.0,-9.0,1.0,1.0,1.0,1.0,-9.0,0.0
2023-01-07,15,273.69200134277344,11940.0,101442.875,0.956107497215271,8.028697818517685,-1.8094615936279297,4.470712661743164,0.0,0.0,-9.0,0.9951171875,0.99609375,0.99609375,0.99609375,-9.0,0.0
2023-01-07,16,273.7524871826172,6631.260894775391,101439.875,0.9628487229347228,8.082809995859861,-2.2090091705322266,4.539079666137695,0.0,0.0,-9.0,0.99658203125,0.99658203125,0.9970703125,0.0,-9.0,0.0
2023-01-07,17,273.7875518798828,3313.750869750977,101412.625,0.9775500893592834,8.279649265110493,-2.396678924560547,4.168773651123047,0.0,0.0,-9.0,0.9990234375,0.9990234375,0.9990234375,0.9990234375,-9.0,0.0
2023-01-07,18,273.9343566894531,1924.0,101385.5,0.9711595177650452,7.407996993511915,-2.650205612182617,4.358364105224609,0.0,0.0,-9.0,1.0,0.99951171875,0.99951171875,0.99951171875,-9.0,0.0
2023-01-07,19,274.03013610839844,1975.593292236328,101355.375,0.9807794094085692,6.494240760803223,-2.724912643432617,4.203731536865234,0.0,0.0,-9.0,1.0,1.0,1.0,1.0,-9.0,0.0
2023-01-07,20,274.260009765625,1284.0,101322.75,0.9880403876304626,7.079689204692841,-2.8430614471435547,4.07564640045166,0.0,0.0,-9.0,0.99951171875,0.99951171875,0.99951171875,0.99951171875,-9.0,0.0
